in s,C1 in V
-1.1280E-07,1.549364413135E-02
-1.1260E-07,1.459468548186E-02
-1.1240E-07,1.471374808811E-02
-1.1220E-07,1.433124040253E-02
-1.1200E-07,1.553846170194E-02
-1.1180E-07,1.505277604796E-02
-1.1160E-07,1.412296361290E-02
-1.1140E-07,1.524725901894E-02
-1.1120E-07,1.600449970923E-02
-1.1100E-07,1.484897100367E-02
-1.1080E-07,1.386643919162E-02
-1.1060E-07,1.506893868558E-02
-1.1040E-07,1.600260027684E-02
-1.1020E-07,1.627878212370E-02
-1.1000E-07,1.619206574745E-02
-1.0980E-07,1.528979298659E-02
-1.0960E-07,1.605906776153E-02
-1.0940E-07,1.601682809181E-02
-1.0920E-07,1.664598585106E-02
-1.0900E-07,1.648730804212E-02
-1.0880E-07,1.548449668102E-02
-1.0860E-07,1.533920151182E-02
-1.0840E-07,1.603236674331E-02
-1.0820E-07,1.592369723134E-02
-1.0800E-07,1.443989268504E-02
-1.0780E-07,1.466317215003E-02
-1.0760E-07,1.668895567767E-02
-1.0740E-07,1.729157120921E-02
-1.0720E-07,1.630544216372E-02
-1.0700E-07,1.525984677486E-02
-1.0680E-07,1.571381484158E-02
-1.0660E-07,1.589129745029E-02
-1.0640E-07,1.546158474870E-02
-1.0620E-07,1.500157938339E-02
-1.0600E-07,1.511782799847E-02
-1.0580E-07,1.612273017876E-02
-1.0560E-07,1.611719346605E-02
-1.0540E-07,1.498902189545E-02
-1.0520E-07,1.557995957322E-02
-1.0500E-07,1.587406472303E-02
-1.0480E-07,1.510562161915E-02
-1.0460E-07,1.708300524391E-02
-1.0440E-07,1.720587789081E-02
-1.0420E-07,1.685458534397E-02
-1.0400E-07,1.504376922734E-02
-1.0380E-07,1.386448853649E-02
-1.0360E-07,1.495935275219E-02
-1.0340E-07,1.751502296887E-02
-1.0320E-07,1.715113381855E-02
-1.0300E-07,1.613380267285E-02
-1.0280E-07,1.622968140058E-02
-1.0260E-07,1.699762904085E-02
-1.0240E-07,1.662521502934E-02
-1.0220E-07,1.568046930246E-02
-1.0200E-07,1.551136719994E-02
-1.0180E-07,1.542936517857E-02
-1.0160E-07,1.513370192610E-02
