in s,C1 in V
-1.0340E-07,4.82231970411E-02
-1.0320E-07,4.71221921500E-02
-1.0300E-07,4.38016220462E-02
-1.0280E-07,4.15429552551E-02
-1.0260E-07,4.21091691125E-02
-1.0240E-07,4.59131352138E-02
-1.0220E-07,4.53624534886E-02
-1.0200E-07,4.41624722909E-02
-1.0180E-07,4.43056165706E-02
-1.0160E-07,4.42828527186E-02
-1.0140E-07,4.42972719204E-02
-1.0120E-07,4.51650782954E-02
-1.0100E-07,4.40415167715E-02
-1.0080E-07,4.48306729551E-02
-1.0060E-07,4.44565560203E-02
-1.0040E-07,4.17079111095E-02
-1.0020E-07,4.48040836956E-02
-1.0000E-07,4.52779569197E-02
-9.9800E-08,4.49742223602E-02
-9.9600E-08,4.50887098443E-02
-9.9400E-08,4.91412505973E-02
-9.9200E-08,4.51524076518E-02
-9.9000E-08,4.31076726410E-02
-9.8800E-08,4.57063001115E-02
-9.8600E-08,4.65682927053E-02
-9.8400E-08,4.85291784164E-02
-9.8200E-08,4.42175763193E-02
-9.8000E-08,3.78449457232E-02
-9.7800E-08,4.29782886524E-02
-9.7600E-08,4.88211876247E-02
-9.7400E-08,4.82365848031E-02
-9.7200E-08,4.42125960719E-02
-9.7000E-08,4.55180774908E-02
-9.6800E-08,4.65223365929E-02
-9.6600E-08,4.62614894379E-02
-9.6400E-08,4.67974748928E-02
-9.6200E-08,4.63285493199E-02
-9.6000E-08,4.93036825675E-02
-9.5800E-08,4.96985656675E-02
-9.5600E-08,4.83578010928E-02
-9.5400E-08,4.33833557647E-02
-9.5200E-08,4.21279236209E-02
-9.5000E-08,4.52233348507E-02
-9.4800E-08,4.50274474453E-02
-9.4600E-08,4.25466555636E-02
-9.4400E-08,4.30911952164E-02
-9.4200E-08,4.94249593932E-02
-9.4000E-08,4.67202077154E-02
-9.3800E-08,4.49368134607E-02
-9.3600E-08,4.71202875953E-02
-9.3400E-08,4.77007600013E-02
-9.3200E-08,4.83236960601E-02
-9.3000E-08,4.69205375295E-02
-9.2800E-08,4.72544655669E-02
-9.2600E-08,4.94052013848E-02
-9.2400E-08,5.04840128589E-02
-9.2200E-08,4.82959426474E-02
-9.2000E-08,4.67556491960E-02
-9.1800E-08,4.43990631495E-02
-9.1600E-08,4.60967291612E-02
-9.1400E-08,4.63593900669E-02
