in s,C1 in V
-9.4000E-08,3.80886961240E-02
-9.3800E-08,3.81641122978E-02
-9.3600E-08,3.88490185607E-02
-9.3400E-08,3.82717499044E-02
-9.3200E-08,3.87146659661E-02
-9.3000E-08,3.85484179016E-02
-9.2800E-08,3.77422720659E-02
-9.2600E-08,3.75774326269E-02
-9.2400E-08,3.73757291120E-02
-9.2200E-08,3.73621737119E-02
-9.2000E-08,3.65431639831E-02
-9.1800E-08,3.68943913374E-02
-9.1600E-08,3.78459212836E-02
-9.1400E-08,3.78817725461E-02
-9.1200E-08,3.82360872347E-02
-9.1000E-08,3.83658367675E-02
-9.0800E-08,3.81448781583E-02
-9.0600E-08,3.74707216863E-02
-9.0400E-08,3.79473865498E-02
-9.0200E-08,3.81632065866E-02
-9.0000E-08,3.87616488617E-02
-8.9800E-08,3.81353390869E-02
-8.9600E-08,3.85352210607E-02
-8.9400E-08,3.86297014076E-02
-8.9200E-08,3.81719959434E-02
-8.9000E-08,3.80512779113E-02
-8.8800E-08,3.83988684509E-02
-8.8600E-08,3.82716823835E-02
-8.8400E-08,3.76222269144E-02
-8.8200E-08,3.72512066271E-02
-8.8000E-08,3.79733494949E-02
-8.7800E-08,3.75885479618E-02
-8.7600E-08,3.80110540893E-02
-8.7400E-08,3.77461999189E-02
-8.7200E-08,3.77520928625E-02
-8.7000E-08,3.67687861901E-02
-8.6800E-08,3.75149199273E-02
-8.6600E-08,3.81761705968E-02
-8.6400E-08,3.80693246145E-02
-8.6200E-08,3.79212117288E-02
-8.6000E-08,3.75373764429E-02
-8.5800E-08,3.83115918841E-02
-8.5600E-08,3.83088561241E-02
-8.5400E-08,3.80836925935E-02
-8.5200E-08,3.77407982480E-02
-8.5000E-08,3.82531281095E-02
-8.4800E-08,3.89317200053E-02
-8.4600E-08,3.84862078819E-02
-8.4400E-08,3.77090215217E-02
-8.4200E-08,3.72528108302E-02
-8.4000E-08,3.64860017318E-02
-8.3800E-08,3.62061206717E-02
-8.3600E-08,3.71029121336E-02
-8.3400E-08,3.90975606162E-02
-8.3200E-08,4.00619241875E-02
-8.3000E-08,3.87820867356E-02
-8.2800E-08,3.80198155064E-02
-8.2600E-08,3.81241189782E-02
-8.2400E-08,3.85526950005E-02
-8.2200E-08,3.83118992206E-02
-8.2000E-08,3.84903010447E-02
-8.1800E-08,3.82835544180E-02
-8.1600E-08,3.77158783842E-02
-8.1400E-08,3.74919372145E-02
-8.1200E-08,3.72536024544E-02
-8.1000E-08,3.76601084601E-02
-8.0800E-08,3.78347221296E-02
-8.0600E-08,3.73403528240E-02
-8.0400E-08,3.75112737995E-02
-8.0200E-08,3.84551878553E-02
-8.0000E-08,3.82943414617E-02
-7.9800E-08,3.84671180975E-02
-7.9600E-08,3.83373080287E-02
-7.9400E-08,3.85063523892E-02
-7.9200E-08,3.92433172557E-02
-7.9000E-08,3.89086395036E-02
-7.8800E-08,3.80887566600E-02
-7.8600E-08,3.82708302233E-02
-7.8400E-08,3.83051564451E-02
-7.8200E-08,3.80705167074E-02
-7.8000E-08,3.78657398280E-02
-7.7800E-08,3.75765082892E-02
-7.7600E-08,3.67155680899E-02
-7.7400E-08,3.59534482006E-02
-7.7200E-08,3.71713527013E-02
-7.7000E-08,3.80114475731E-02
-7.6800E-08,3.72774792369E-02
-7.6600E-08,3.72678377200E-02
-7.6400E-08,3.79670653958E-02
-7.6200E-08,3.77003229689E-02
-7.6000E-08,3.79639338236E-02
-7.5800E-08,3.82913379464E-02
-7.5600E-08,3.78664499614E-02
-7.5400E-08,3.75194927212E-02
-7.5200E-08,3.74501534272E-02
-7.5000E-08,3.71072311420E-02
-7.4800E-08,3.82417915855E-02
-7.4600E-08,3.88190183323E-02
-7.4400E-08,3.79144666251E-02
-7.4200E-08,3.78349037375E-02
-7.4000E-08,3.91401709523E-02
-7.3800E-08,3.91736706253E-02
-7.3600E-08,3.75770251732E-02
-7.3400E-08,3.73604298104E-02
-7.3200E-08,3.75956586096E-02
-7.3000E-08,3.81570575293E-02
-7.2800E-08,3.81471924949E-02
-7.2600E-08,3.74087235425E-02
-7.2400E-08,3.80575317424E-02
-7.2200E-08,3.82250953000E-02
-7.2000E-08,3.82879968267E-02
-7.1800E-08,3.75766898971E-02
-7.1600E-08,3.69712999556E-02
-7.1400E-08,3.77840861212E-02
